pais;nodo;anio;anio_esp;anio_nacimiento;edad_contienda;anios_adultez;ratio.kb_edad;ratio.edad_in.stat;ratio.edad_out.stat;candidato;id_candidato;partidos;votos;exito;estrategia;presidencia;vicepresidencia;ministerio;gobernatura;ejercito;corte_suprema;legislatura;alcaldia;partido_politico;empresas;soc_civil;mov_rev;org_relig;kb;intra;para;sub;exa;ana;in_state;out_state
ARG;48;1916;;1865;51;33;12.03;7.79;4.24;Juan Bautista Justo;JJusto;PS;9.21;Perdedor;Alterna;0;0;0;0;0;0;112;0;145;80;60;0;0;397;0;112;145;140;0;0.65;0.35
ARG;49;1922;;1868;54;36;6.36;5.25;1.11;Marcelo Torcuato de Alvear;MAlvear;UCR;50.51;Ganador;Mantiene;0;0;88;0;0;0;56;0;45;0;0;40;0;229;88;56;45;0;40;0.83;0.17
ARG;50;1922;;1858;64;46;15.72;11.80;3.91;Norberto Piñero;NPiñero;PAN;27.84;Perdedor;Alterna;0;0;308;190;0;0;0;0;45;0;180;0;0;723;308;190;45;180;0;0.75;0.25
ARG;51;1922;;1871;51;33;4.88;3.06;1.82;Nicolás Repetto;NRepetto;PS;9.48;Perdedor;Alterna;0;0;0;0;0;0;56;0;45;40;0;20;0;161;0;56;45;40;20;0.63;0.37
ARG;52;1922;;1851;71;53;8.38;8.38;0.00;Miguel María Laurencena;MLaurencena;UCR;7.08;Perdedor;Alterna;0;0;0;190;0;0;161;48;45;0;0;0;0;444;0;351;93;0;0;1;0
ARG;53;1922;;1877;45;27;7.41;7.41;0.00;Carlos Perfecto Ibarguren;CIbarguren;PDP;5.04;Perdedor;Alterna;0;0;110;0;0;0;0;0;90;0;0;0;0;200;110;0;90;0;0;1;0
ARG;54;1928;;1852;76;58;12.16;7.76;4.40;Hipolito Yrigoyen;HYrigoyen;UCR;61.42;Ganador;Recupera;130;0;0;0;0;0;112;18;190;160;15;80;0;705;130;112;208;175;80;0.64;0.36
ARG;55;1928;;1869;59;41;13.61;12.22;1.39;Leopoldo Melo;LMelo;UCR-A;31.48;Perdedor;Alterna;0;0;0;0;0;0;406;0;95;0;57;0;0;558;0;406;95;57;0;0.9;0.1
ARG;56;1928;;1882;46;28;12.57;11.61;0.96;Mario Humberto Nicolás Bravo;MBravo;PS;4.94;Perdedor;Alterna;0;0;0;0;0;0;280;0;45;27;0;0;0;352;0;280;45;27;0;0.92;0.08
ARG;57;1930;;1868;62;44;11.61;10.70;0.91;José Felix Benito Uriburu;FUriburu;Revolucion de 1930;0;De facto;Despoja;0;0;154;0;261;0;56;0;0;0;0;40;0;511;154;317;0;0;40;0.92;0.08
ARG;58;1931;;1876;55;37;18.65;18.65;0.00;Agustín Pedro Justo;AJusto;UCRA;61.44;Ganador;Mantiene;0;0;330;0;315;0;0;0;45;0;0;0;0;690;330;315;45;0;0;1;0
ARG;59;1931;;1868;63;45;9.29;7.96;1.33;Lisandro de la Torre;LTorre;PDP;34.66;Perdedor;Alterna;0;0;0;0;0;0;168;0;190;40;0;20;0;418;0;168;190;40;20;0.86;0.14
ARG;60;1931;;1856;75;57;3.68;3.42;0.26;Francisco Antonio Barroetaveña;FBarroetaveña;UCRI;2.95;Perdedor;Alterna;0;0;0;0;0;0;0;0;195;0;15;0;0;210;0;0;195;15;0;0.93;0.07
ARG;61;1937;;1886;51;33;9.73;9.73;0.00;Jaime Gerardo Roberto Marcelino María Ortiz Lizardi;ROrtiz;UCRA;55.77;Ganador;Mantiene;0;0;220;0;0;0;56;0;45;0;0;0;0;321;220;56;45;0;0;1;0
ARG;62;1937;;1868;69;51;8.90;8.12;0.78;Marcelo T de Alvear;MAlvear;UCR;41.39;Perdedor;Recupera;130;0;88;0;0;0;56;0;140;0;0;40;0;454;218;56;140;0;40;0.91;0.09
ARG;63;1937;;1871;66;48;9.67;7.58;2.08;Nicolás Repetto;NRepetto;PS;2.59;Perdedor;Alterna;0;0;0;0;0;0;224;0;140;80;0;20;0;464;0;224;140;80;20;0.78;0.22
ARG;64;1942;;1873;69;51;12.25;11.67;0.59;Ramón Antonio Castillo;RCastillo;PDNC;0;De facto;Interino;0;120;319;100;0;0;56;0;0;0;30;0;0;625;439;156;0;30;0;0.95;0.05
ARG;65;1943;;1885;58;40;4.00;4.00;0.00;Arturo Franklin Rawson;ARawson;Golpe de Estado;0;De facto;Despoja;0;0;88;0;72;0;0;0;0;0;0;0;0;160;88;72;0;0;0;1;0
ARG;66;1943;;1884;59;41;6.63;6.63;0.00;Pedro Pablo Ramírez;PPRamirez;Revolución 1943;0;De facto;Despoja;0;0;110;0;162;0;0;0;0;0;0;0;0;272;110;162;0;0;0;1;0
ARG;67;1944;;1887;57;39;15.67;15.67;0.00;Edelmiro Julián Farrel;EFarrel;Revolución 1943;0;De facto;Interino;0;240;110;0;261;0;0;0;0;0;0;0;0;611;350;261;0;0;0;1;0
ARG;68;1946;;1895;51;33;15.97;15.36;0.61;Juan Domingo Perón;JDPerón;PL, UCR, JR, PI;53.71;Ganador;Alterna;0;120;220;0;72;0;0;0;95;0;0;20;0;527;340;72;95;0;20;0.96;0.04
ARG;69;1946;;1886;60;42;8.76;6.36;2.40;José Pascual Tamborini;JPTambori;UCR, PS, PDP, PC;43.65;Perdedor;Mantiene;0;0;110;0;0;0;112;0;45;80;21;0;0;368;110;112;45;101;0;0.73;0.27
ARG;70;1951;;1895;56;38;18.47;17.95;0.53;Juan Domingo Perón;JDPerón;PJ;62.49;Ganador;Conserva;130;120;220;0;72;0;0;0;140;0;0;20;0;702;470;72;140;0;20;0.97;0.03
